time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1766385749433015000,0.10401513671875,0.33809998631477356,0.026409417390823364,0.11047384887933731,0.934230387210846,-0.026023225858807564,-0.22619809210300446,-0.6974328756332397
1766385749443015200,0.11401513671875,0.34975120425224304,0.028329400345683098,0.10982753336429596,0.9299513101577759,-0.02476700395345688,-0.22600406408309937,-0.722273588180542
1766385749453015000,0.12401513671875,0.34300029277801514,0.02799726463854313,0.10993652790784836,0.9324595928192139,-0.023812424391508102,-0.22615168988704681,-0.7076697945594788
1766385749463015200,0.13401513671875,0.342515230178833,0.02818128652870655,0.1098216250538826,0.932645857334137,-0.02325873076915741,-0.22607526183128357,-0.7065601944923401
1766385749473015000,0.14401513671875,0.34451568126678467,0.02879433147609234,0.1098707914352417,0.931884229183197,-0.022618276998400688,-0.22654679417610168,-0.7108015418052673
1766385749483015200,0.15401513671875,0.34691837430000305,0.02946186624467373,0.11034918576478958,0.9309149980545044,-0.02228926308453083,-0.22785979509353638,-0.7159925103187561
1766385749493015000,0.16401513671875,0.34664610028266907,0.02983228676021099,0.11103353649377823,0.9309232234954834,-0.022014066576957703,-0.22941707074642181,-0.7154589295387268
1766385749503015200,0.17401513671875,0.3450830578804016,0.029981473460793495,0.11181976646184921,0.9314049482345581,-0.021908272057771683,-0.23104117810726166,-0.7121768593788147
1766385749513015000,0.18401513671875,0.3454328179359436,0.030262907966971397,0.11243680119514465,0.9311918616294861,-0.021908225491642952,-0.2323942631483078,-0.7130014300346375
1766385749523015200,0.19401513671875,0.34614625573158264,0.03045891597867012,0.11284780502319336,0.930870771408081,-0.022015158087015152,-0.23329029977321625,-0.7145957946777344
1766385749533015000,0.20401513671875,0.3473207652568817,0.03065071441233158,0.11313055455684662,0.9303925633430481,-0.02215602435171604,-0.23393066227436066,-0.7171722054481506
1766385749543015200,0.21401513671875,0.3486054539680481,0.030802849680185318,0.11320821195840836,0.9298974871635437,-0.02225203439593315,-0.23415398597717285,-0.7199585437774658
1766385749553015000,0.22401513671875,0.35067394375801086,0.030989067628979683,0.11339759081602097,0.929090142250061,-0.022567907348275185,-0.23459313809871674,-0.7244722843170166
1766385749563015200,0.23401513671875,0.3502686619758606,0.030866673216223717,0.11380574107170105,0.9291971921920776,-0.022998332977294922,-0.23528403043746948,-0.7236912846565247
1766385749573015000,0.24401513671875,0.3510100245475769,0.03089364990592003,0.11404097080230713,0.9288876056671143,-0.023312358185648918,-0.23572753369808197,-0.7253507375717163
1766385749583015200,0.25401513671875,0.3503609895706177,0.030747029930353165,0.11394651979207993,0.9291490912437439,-0.023354163393378258,-0.23546144366264343,-0.7239435315132141
1766385749593015000,0.26401513671875,0.3493623435497284,0.03071555867791176,0.11366264522075653,0.9295608401298523,-0.022947236895561218,-0.23492948710918427,-0.7217147350311279
1766385749603015200,0.27401513671875,0.3502500057220459,0.03098304569721222,0.11336673051118851,0.9292539954185486,-0.022447586059570312,-0.23454102873802185,-0.7235421538352966
1766385749613015000,0.28401513671875,0.34952443838119507,0.031100202351808548,0.11337225884199142,0.9295225739479065,-0.02204185724258423,-0.23465217649936676,-0.7219374775886536
1766385749623015200,0.29401513671875,0.3499017059803009,0.031368959695100784,0.11358524113893509,0.9293455481529236,-0.02178374119102955,-0.23523548245429993,-0.722750186920166
1766385749633015000,0.30401513671875,0.3496706485748291,0.031482994556427,0.1139439269900322,0.9293847680091858,-0.021771198138594627,-0.23599739372730255,-0.7222937345504761
1766385749643015200,0.31401513671875,0.3492913544178009,0.03152727708220482,0.11429299414157867,0.9294830560684204,-0.021845757961273193,-0.23669515550136566,-0.7215256094932556
1766385749653015000,0.32401513671875,0.34948012232780457,0.03156115487217903,0.11450562626123428,0.9293847680091858,-0.021986890584230423,-0.23711523413658142,-0.721972644329071
1766385749663015200,0.33401513671875,0.34954962134361267,0.03150646761059761,0.11456107348203659,0.929353654384613,-0.02215011976659298,-0.23717911541461945,-0.7221457958221436
1766385749673015000,0.34401513671875,0.3495904803276062,0.03147394582629204,0.11460728198289871,0.9293336868286133,-0.022256838157773018,-0.23724204301834106,-0.7222504615783691
1766385749683015200,0.35401513671875,0.3499053120613098,0.03149140626192093,0.11460332572460175,0.9292150735855103,-0.022302528843283653,-0.23723946511745453,-0.7229335308074951
1766385749693015000,0.36401513671875,0.3494552671909332,0.03145648166537285,0.11463186889886856,0.9293820858001709,-0.022273093461990356,-0.23727913200855255,-0.7219635844230652
1766385749703015200,0.37401513671875,0.34952613711357117,0.03153827041387558,0.11468701809644699,0.9293458461761475,-0.02217625454068184,-0.23743945360183716,-0.7221131324768066
1766385749713015000,0.38401513671875,0.3495602309703827,0.031657446175813675,0.11474776268005371,0.9293214678764343,-0.022002695128321648,-0.23763781785964966,-0.722176194190979
1766385749723015200,0.39401513671875,0.3493746817111969,0.03181784600019455,0.1148340106010437,0.9293751120567322,-0.021712034940719604,-0.2379186749458313,-0.7217566967010498
1766385749733015000,0.40401513671875,0.34984883666038513,0.03202306106686592,0.11489824205636978,0.9291817545890808,-0.02149185724556446,-0.23817461729049683,-0.7227643132209778
1766385749743015200,0.41401513671875,0.3505002558231354,0.03220852091908455,0.11495445668697357,0.9289228320121765,-0.0213500764220953,-0.23839758336544037,-0.7241615653038025
1766385749753015000,0.42401513671875,0.3500452935695648,0.0322255976498127,0.11500813812017441,0.9290871620178223,-0.02123817428946495,-0.2385212481021881,-0.7231751680374146
