time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1766385750441710300,1.11271044921875,0,0.41498473286628723,4.579319000244141,4.818999767303467,0.021237073466181755,0,126.24169921875,127.4347093,37.3287405
1766385750827691800,1.49869189453125,45,0.5406671762466431,2.6304004192352295,4.645999908447266,0.7423323392868042,200.14979553222656,124.94500732421876,127.4347054,37.328732
1766385751826753300,2.497753173828125,45,0.07525286823511124,2.2543299198150635,4.360000133514404,1.5238772630691528,145.50216674804688,124.94500732421876,127.4347241,37.3287171
1766385752826377200,3.497377197265625,45,0.07067602127790451,1.6916632652282715,4.2179999351501465,0.572770893573761,238.55941772460938,124.28790283203126,127.4347082,37.3287202
1766385753826245000,4.4972451171875,45,0.23390944302082062,1.6948128938674927,4.150000095367432,3.568269729614258,121.47703552246094,124.28790283203126,127.4347691,37.3286942
1766385757959906800,8.63090673828125,45,0.13558495044708252,3.7564687728881836,3.8359999656677246,0.49986618757247925,120.02945709228516,132.20001220703125,127.4347713,37.3286937
1766385758826277400,9.49727734375,45,0.1368488073348999,3.7620913982391357,3.7899999618530273,0.11104828119277954,109.51261138916016,132.20001220703125,127.4347714,37.3286939
1766385759826139400,10.497139404296876,45,0.3230971395969391,3.7685904502868652,3.8399999141693115,5.9023308753967285,256.35943603515625,132.20001220703125,127.4346687,37.3286744
1766385760826366700,11.49736669921875,45,0.07522910833358765,3.7752013206481934,3.828000068664551,2.31815767288208,270.9315185546875,132.20001220703125,127.4346676,37.3286831
1766385761826661400,12.497661376953126,180,0.18326027691364288,3.7815940380096436,3.691999912261963,0.2297920137643814,89.5853042602539,132.20001220703125,127.434673,37.3286872
1766385762099636500,12.770636474609375,180,0.21036146581172943,3.7815940380096436,3.6040000915527344,0.23283663392066956,89.98421478271484,132.20001220703125,127.4346742,37.3286875
1766385762412558300,13.083558349609374,180,0.21036146581172943,7.304203033447266,3.562999963760376,0.23284097015857697,89.99146270751953,132.20001220703125,127.4346742,37.3286877
1766385762826843400,13.497843505859375,101.8950424194336,0.14443929493427277,7.3222432136535645,3.492000102996826,0.11842092871665955,8.985979080200195,132.20001220703125,127.4346762,37.3286897
1766385765498885600,16.1698857421875,97.7328109741211,0.14734259247779846,7.218413352966309,3.303999900817871,0.12486325949430466,22.074909210205078,132.20001220703125,127.4346774,37.3286906
1766385767034129000,17.70512890625,92.69586181640625,0.1265634298324585,7.217808723449707,3.325000047683716,0.10101970285177231,42.25355911254883,132.20001220703125,127.4346769,37.3286905
1766385768212442000,18.883442138671874,103.89868927001953,0.15086989104747772,7.2363057136535645,3.630000114440918,0.11905267834663391,33.753482818603516,132.20001220703125,127.434676,37.3286909
1766385768653820200,19.324820068359376,0,0.13657841086387634,7.2363057136535645,3.6989998817443848,0.07643712311983109,0,132.20001220703125,127.4346757,37.3286908
1766385769638557200,20.30955712890625,0,0.18139296770095825,7.4446516036987305,3.809000015258789,0.09085530787706375,0,132.20001220703125,127.4346758,37.3286912
1766385769713616000,20.384615966796876,96.6661605834961,0.18139296770095825,7.4446516036987305,3.882999897003174,0.12197245657444,40.86063003540039,132.20001220703125,127.4346759,37.3286918
1766385773733626600,24.404626708984374,0,0.12202049791812897,7.47818660736084,4.61299991607666,0.0645337700843811,0,132.20001220703125,127.4346757,37.3286917
1766385774460257500,25.131257568359374,87.41433715820312,0.14563050866127014,7.483185291290283,4.434000015258789,0.11587903648614883,26.32473373413086,132.20001220703125,127.4346777,37.3286949
1766385774727240400,25.398240478515625,0,0.07762781530618668,7.4854888916015625,4.359000205993652,0.035867735743522644,0,132.20001220703125,127.4346778,37.3286957
1766385775261356800,25.932356689453126,0,0.10690832138061523,7.4854888916015625,4.302000045776367,0.07874060422182083,0,132.20001220703125,127.434678,37.3286959
1766385775827044900,26.498044921875,0,0.05662280321121216,7.491988658905029,4.0920000076293945,0.024482203647494316,0,132.20001220703125,127.4346813,37.3286993
1766385776826124800,27.497124755859375,0,0.04538429528474808,7.4984893798828125,3.9100000858306885,0.013356281444430351,0,132.20001220703125,127.4346847,37.328703
