time,seconds_elapsed,relativeAltitude,pressure
1766385749488384000,0.159384033203125,0,1016.1824951171875
1766385749552382200,0.22338232421875,0,1016.1824951171875
1766385749616384300,0.28738427734375,-0.0052852630615234375,1016.1837158203125
1766385749680380700,0.351380615234375,-0.026424407958984375,1016.1862182617188
1766385749744383700,0.4153837890625,-0.05813026428222656,1016.1900024414062
1766385749808383000,0.479383056640625,-0.0792694091796875,1016.1925048828125
1766385749872383200,0.54338330078125,-0.1109771728515625,1016.1962280273438
1766385749936382000,0.6073818359375,-0.08983802795410156,1016.1937255859375
1766385750000381000,0.671380859375,-0.0792694091796875,1016.1925048828125
1766385750064383700,0.7353837890625,-0.10040664672851562,1016.1950073242188
1766385750128384300,0.79938427734375,-0.12154579162597656,1016.1974487304688
1766385750192384000,0.863384033203125,-0.1109771728515625,1016.1962280273438
1766385750256383200,0.92738330078125,-0.10040664672851562,1016.1950073242188
1766385750320383000,0.991383056640625,-0.08983802795410156,1016.1937255859375
1766385750384385000,1.055385009765625,-0.1109771728515625,1016.1962280273438
1766385750448384800,1.119384765625,-0.12154579162597656,1016.1974487304688
1766385750512386800,1.18338671875,-0.1109771728515625,1016.1962280273438
1766385750576385500,1.247385498046875,-0.10040664672851562,1016.1950073242188
1766385750640382700,1.3113828125,-0.10040664672851562,1016.1950073242188
1766385750704383500,1.375383544921875,-0.10040664672851562,1016.1950073242188
1766385750768386600,1.439386474609375,-0.10040664672851562,1016.1950073242188
1766385750832382500,1.503382568359375,-0.1109771728515625,1016.1962280273438
1766385750896384800,1.567384765625,-0.1109771728515625,1016.1962280273438
1766385750960380200,1.631380126953125,-0.1109771728515625,1016.1962280273438
1766385751024385300,1.69538525390625,-0.10040664672851562,1016.1950073242188
1766385751088386800,1.75938671875,-0.06869888305664062,1016.1912231445312
1766385751152383700,1.8233837890625,-0.0475616455078125,1016.188720703125
1766385751216383500,1.887383544921875,-0.06869888305664062,1016.1912231445312
1766385751280384300,1.95138427734375,-0.13211441040039062,1016.19873046875
1766385751344381200,2.015381103515625,-0.3012199401855469,1016.21875
1766385751408387600,2.0793876953125,-0.5284557342529297,1016.2462158203125
1766385751472383000,2.143383056640625,-0.15325164794921875,1016.2012329101562
1766385751536383000,2.207383056640625,0.09512138366699219,1016.1712036132812
1766385751600380000,2.2713798828125,0.1479663848876953,1016.1649780273438
1766385751664383700,2.3353837890625,0.11625862121582031,1016.168701171875
1766385751728384300,2.39938427734375,0.052845001220703125,1016.1762084960938
1766385751792385300,2.46338525390625,-0.0475616455078125,1016.188720703125
1766385751856382700,2.5273828125,-0.2060985565185547,1016.2074584960938
1766385751920382000,2.5913818359375,-0.2589435577392578,1016.2137451171875
1766385751984384300,2.65538427734375,-0.08983802795410156,1016.1937255859375
1766385752048380200,2.719380126953125,0.1268291473388672,1016.16748046875
1766385752112379600,2.783379638671875,0.16910552978515625,1016.1624755859375
1766385752176380400,2.84738037109375,0.11625862121582031,1016.168701171875
1766385752240379400,2.91137939453125,0.08455276489257812,1016.1724853515625
1766385752304380000,2.9753798828125,0.021137237548828125,1016.1799926757812
1766385752368380200,3.039380126953125,-0.10040664672851562,1016.1950073242188
1766385752432380200,3.103380126953125,-0.13211441040039062,1016.19873046875
1766385752496383200,3.16738330078125,-0.21666717529296875,1016.208740234375
1766385752560383700,3.2313837890625,-0.2060985565185547,1016.2074584960938
1766385752624385000,3.295385009765625,-0.12154579162597656,1016.1974487304688
1766385752688384000,3.359384033203125,-0.05813026428222656,1016.1900024414062
1766385752752381700,3.423381591796875,-0.021139144897460938,1016.1849975585938
1766385752816385800,3.4873857421875,-0.0052852630615234375,1016.1837158203125
1766385752880380200,3.551380126953125,-0.08983802795410156,1016.1937255859375
1766385752944384300,3.61538427734375,-0.2060985565185547,1016.2074584960938
1766385753008384800,3.679384765625,-0.322357177734375,1016.2212524414062
1766385753072384300,3.74338427734375,-0.39105796813964844,1016.22998046875
1766385753136386800,3.80738671875,-0.44390296936035156,1016.2362060546875
1766385753200380700,3.871380615234375,-0.5601634979248047,1016.25
1766385753264384800,3.935384765625,-0.5760154724121094,1016.2525024414062
1766385753328387600,3.9993876953125,-0.28008270263671875,1016.2162475585938
1766385753392383000,4.063383056640625,-0.021139144897460938,1016.1849975585938
1766385753456382500,4.127382568359375,0.2113819122314453,1016.157470703125
1766385753520382700,4.1913828125,0.26422691345214844,1016.1512451171875
1766385753584381200,4.255381103515625,-0.35935020446777344,1016.2262573242188
1766385753648384000,4.319384033203125,-1.2207317352294922,1016.3299560546875
1766385753712382000,4.3833818359375,-1.9922752380371094,1016.4224853515625
1766385753776384000,4.447384033203125,-1.8231697082519531,1016.4024658203125
1766385753840380400,4.51138037109375,-0.9934959411621094,1016.302490234375
1766385753904383700,4.5753837890625,-0.03699302673339844,1016.1875
1766385753968385000,4.639385009765625,0.5443077087402344,1016.1174926757812
1766385754032383000,4.703383056640625,0.09512138366699219,1016.1712036132812
1766385754096382000,4.7673818359375,0.021137237548828125,1016.1799926757812
1766385754160382000,4.8313818359375,0.33292579650878906,1016.1424560546875
1766385754224384000,4.895384033203125,0.10569000244140625,1016.1699829101562
1766385754288382700,4.9593828125,0.04227638244628906,1016.177490234375
1766385754352385800,5.0233857421875,-0.026424407958984375,1016.1862182617188
1766385754416387600,5.0873876953125,-0.1426830291748047,1016.199951171875
1766385754480386000,5.151385986328125,-0.3012199401855469,1016.21875
1766385754544387600,5.2153876953125,0.15853500366210938,1016.1637573242188
1766385754608385300,5.27938525390625,0.5654449462890625,1016.114990234375
